config,target,metric,value
eregalloc-c0+spectral,fixture:fp-aarch64,run_min_s,0.000617
eregalloc-c2,fixture:fp-aarch64,compile_s,2.597
eregalloc-c2,fixture:fp-aarch64,obj_bytes,37696
eregalloc-c2,fixture:fp-aarch64,text_bytes,31247
eregalloc-c2,fixture:fp-aarch64,insns,7644
eregalloc-c2,fixture:fp-aarch64,ldr_sp,1639
eregalloc-c2,fixture:fp-aarch64,str_sp,1633
eregalloc-c2,fixture:fp-aarch64,ldp_sp,0
eregalloc-c2,fixture:fp-aarch64,stp_sp,0
eregalloc-c2,fixture:fp-aarch64,mov_imm,1133
eregalloc-c2,fixture:fp-aarch64,objects,1
eregalloc-c2,fixture:fp-aarch64,correct,1
eregalloc-c2,fixture:fp-aarch64,run_median_s,0.001012
eregalloc-c2,fixture:fp-aarch64,run_min_s,0.000724
eregalloc-c2+spectral,fixture:fp-aarch64,compile_s,2.619
eregalloc-c2+spectral,fixture:fp-aarch64,obj_bytes,37696
eregalloc-c2+spectral,fixture:fp-aarch64,text_bytes,31243
eregalloc-c2+spectral,fixture:fp-aarch64,insns,7643
eregalloc-c2+spectral,fixture:fp-aarch64,ldr_sp,1638
eregalloc-c2+spectral,fixture:fp-aarch64,str_sp,1632
eregalloc-c2+spectral,fixture:fp-aarch64,ldp_sp,0
eregalloc-c2+spectral,fixture:fp-aarch64,stp_sp,0
eregalloc-c2+spectral,fixture:fp-aarch64,mov_imm,1134
eregalloc-c2+spectral,fixture:fp-aarch64,objects,1
eregalloc-c2+spectral,fixture:fp-aarch64,correct,1
eregalloc-c2+spectral,fixture:fp-aarch64,run_median_s,0.001013
eregalloc-c2+spectral,fixture:fp-aarch64,run_min_s,0.000711
baseline,fixture:int128-aarch64,compile_s,5.803
baseline,fixture:int128-aarch64,obj_bytes,103648
baseline,fixture:int128-aarch64,text_bytes,89437
baseline,fixture:int128-aarch64,insns,21824
baseline,fixture:int128-aarch64,ldr_sp,4438
baseline,fixture:int128-aarch64,str_sp,4422
baseline,fixture:int128-aarch64,ldp_sp,0
baseline,fixture:int128-aarch64,stp_sp,0
baseline,fixture:int128-aarch64,mov_imm,4073
baseline,fixture:int128-aarch64,objects,1
baseline,fixture:int128-aarch64,correct,1
baseline,fixture:int128-aarch64,run_median_s,0.000889
baseline,fixture:int128-aarch64,run_min_s,0.000699
weighted,fixture:int128-aarch64,compile_s,5.833
weighted,fixture:int128-aarch64,obj_bytes,107096
weighted,fixture:int128-aarch64,text_bytes,92885
weighted,fixture:int128-aarch64,insns,22686
weighted,fixture:int128-aarch64,ldr_sp,4720
weighted,fixture:int128-aarch64,str_sp,5002
weighted,fixture:int128-aarch64,ldp_sp,0
weighted,fixture:int128-aarch64,stp_sp,0
weighted,fixture:int128-aarch64,mov_imm,4073
weighted,fixture:int128-aarch64,objects,1
weighted,fixture:int128-aarch64,correct,1
weighted,fixture:int128-aarch64,run_median_s,0.000942
weighted,fixture:int128-aarch64,run_min_s,0.000592
weighted+remat,fixture:int128-aarch64,compile_s,5.841
weighted+remat,fixture:int128-aarch64,obj_bytes,110144
weighted+remat,fixture:int128-aarch64,text_bytes,95933
weighted+remat,fixture:int128-aarch64,insns,23448
weighted+remat,fixture:int128-aarch64,ldr_sp,4375
weighted+remat,fixture:int128-aarch64,str_sp,5367
weighted+remat,fixture:int128-aarch64,ldp_sp,0
weighted+remat,fixture:int128-aarch64,stp_sp,0
weighted+remat,fixture:int128-aarch64,mov_imm,4815
weighted+remat,fixture:int128-aarch64,objects,1
weighted+remat,fixture:int128-aarch64,correct,1
weighted+remat,fixture:int128-aarch64,run_median_s,0.000916
weighted+remat,fixture:int128-aarch64,run_min_s,0.000603
weighted+remat+spectral,fixture:int128-aarch64,compile_s,5.847
weighted+remat+spectral,fixture:int128-aarch64,obj_bytes,110256
weighted+remat+spectral,fixture:int128-aarch64,text_bytes,96045
weighted+remat+spectral,fixture:int128-aarch64,insns,23476
weighted+remat+spectral,fixture:int128-aarch64,ldr_sp,4399
weighted+remat+spectral,fixture:int128-aarch64,str_sp,5370
weighted+remat+spectral,fixture:int128-aarch64,ldp_sp,0
weighted+remat+spectral,fixture:int128-aarch64,stp_sp,0
weighted+remat+spectral,fixture:int128-aarch64,mov_imm,4816
weighted+remat+spectral,fixture:int128-aarch64,objects,1
weighted+remat+spectral,fixture:int128-aarch64,correct,1
weighted+remat+spectral,fixture:int128-aarch64,run_median_s,0.001007
